,Company,y_pred,y_true,Diff,current_volume,current_dividends,current_stock_splits,Diff_perc
0,A,83.74036067922458,90.29,-6.549639320775427,1804700.0,0.0,0.0,-0.07254003013374045
1,AA,13.226411235626674,12.98,0.24641123562667389,11247200.0,0.0,0.0,0.018983916458141285
2,AACG,1.3400078666952728,0.89,0.4500078666952728,32600.0,0.0,0.0,0.5056268165115425
3,AAL,24.73910128540583,20.31,4.429101285405832,175418900.0,0.0,0.0,0.2180749032696126
4,AAMC,-0.2403445944443554,18.24,-18.480344594444354,7900.0,0.0,0.0,-1.013176786976116
5,AAME,1.775386488678708,1.85,-0.07461351132129201,5000.0,0.0,0.0,-0.040331627741238926
6,AAN,68.68765845202786,49.28,19.40765845202786,1617300.0,0.0,0.0,0.39382423806874717
7,AAOI,8.845961507712541,10.24,-1.394038492287459,647500.0,0.0,0.0,-0.13613657151244715
8,AAON,56.788586260060924,57.82,-1.031413739939076,282900.0,0.0,0.0,-0.017838355931149706
9,AAP,144.20467606480926,146.35,-2.1453239351907314,920500.0,0.0,0.0,-0.014658858457060003
10,AAPL,336.0674954864137,333.46,2.607495486413711,23913600.0,0.0,0.0,0.007819515043524594
11,AAT,48.52733777826723,34.64,13.88733777826723,442800.0,0.0,0.0,0.4009046702733034
12,AAU,0.4976404082717492,0.49,0.007640408271749222,337300.0,0.0,0.0,0.015592669942345351
13,AAWW,9.82028303495131,40.56,-30.739716965048693,1234000.0,0.0,0.0,-0.7578825681718119
14,AAXJ,72.01025281377765,70.02,1.9902528137776585,1180900.0,0.0,0.0,0.028424061893425574
15,AAXN,79.73794078280676,97.27,-17.532059217193236,1273300.0,0.0,0.0,-0.1802411762844992
16,AB,30.585367853311887,26.68,3.905367853311887,477700.0,0.0,0.0,0.14637810544647253
17,ABB,23.20958212397458,21.94,1.2695821239745797,1496500.0,0.0,0.0,0.05786609498516771
18,ABBV,83.18993835049996,94.59,-11.400061649500046,6621400.0,0.0,0.0,-0.12052079130457813
19,ABC,92.15321153444992,102.3,-10.146788465550074,1357100.0,0.0,0.0,-0.09918659301612975
20,ABCB,44.66409834694203,29.63,15.034098346942034,339100.0,0.0,0.0,0.5073944767783339
21,ABEO,-0.3230833538937574,3.01,-3.333083353893757,840700.0,0.0,0.0,-1.1073366624231753
22,ABEV,4.319061730188666,3.0,1.3190617301886656,54865300.0,0.0,0.0,0.43968724339622184
23,ABG,125.78051236749118,82.61,43.170512367491185,554000.0,0.0,0.0,0.5225821615723422
24,ABIO,4.287541977676146,8.3,-4.012458022323854,520200.0,0.0,0.0,-0.48342867738841616
25,ABM,40.044012003757,36.75,3.294012003756997,392400.0,0.0,0.0,0.08963297969406794
26,ABMD,93.14354080652626,253.3,-160.15645919347375,734200.0,0.0,0.0,-0.6322797441511004
27,ABR,15.485624976836434,11.0,4.485624976836434,4197500.0,0.0,0.0,0.40778408880331213
28,ABT,93.37396937220647,92.56,0.813969372206472,5426800.0,0.0,0.0,0.00879396469540268
29,ABTX,35.197150394283604,29.39,5.807150394283603,92200.0,0.0,0.0,0.19758932950947952
30,ABUS,1.0084157868041261,2.05,-1.0415842131958737,1194600.0,0.0,0.0,-0.5080898600955481
31,AC,38.773728015790404,37.01,1.7637280157904058,22700.0,0.0,0.0,0.047655444901118775
32,ACA,47.060186208598104,45.22,1.840186208598105,291900.0,0.0,0.0,0.040694078031802416
33,ACAD,53.79032004900616,46.81,6.98032004900616,1052500.0,0.0,0.0,0.14912027449276136
34,ACAM,10.206425361580001,10.06,0.1464253615800004,300.0,0.0,0.0,0.014555204928429464
35,ACAMU,10.370930922331091,10.33,0.04093092233109097,0.0,0.0,0.0,0.003962335172419261
36,,,,,,,,
37,ACB,1.3567944536628147,15.74,-14.383205546337186,11814500.0,0.0,0.0,-0.9137995899833028
38,ACBI,18.130665765890736,13.49,4.640665765890736,92500.0,0.0,0.0,0.3440078403180679
39,ACC,48.10112925958124,40.13,7.9711292595812395,1391100.0,0.0,0.0,0.1986326752948228
40,ACCO,9.614136779930769,7.58,2.034136779930769,632800.0,0.0,0.0,0.2683557757164603
41,,,,,,,,
42,ACEL,12.38398223052362,10.04,2.34398223052362,490500.0,0.0,0.0,0.23346436559000203
43,ACER,-10.380045675904917,3.16,-13.540045675904917,87700.0,0.0,0.0,-4.284824580982568
44,ACGL,50.66242823530159,35.65,15.012428235301591,1825900.0,0.0,0.0,0.42110598135488336
45,ACGLO,27.958308530228052,25.49,2.468308530228054,13900.0,0.0,0.0,0.09683438721961765
46,ACGLP,27.472029573123276,24.62,2.852029573123275,53200.0,0.0,0.0,0.11584198103668866
47,ACH,6.887585535769311,5.26,1.6275855357693114,152000.0,0.0,0.0,0.30942690794093375
48,ACHC,33.96170592913167,31.39,2.5717059291316673,656100.0,0.0,0.0,0.08192755428899864
49,ACHV,0.20346627543624285,0.47,-0.2665337245637571,1607800.0,0.0,0.0,-0.5670930309867174
50,ACIA,79.32862091805022,67.8,11.528620918050223,368500.0,0.0,0.0,0.17003865660841036
51,ACIU,7.959474904460217,6.88,1.0794749044602172,126000.0,0.0,0.0,0.1569004221599153
52,ACIW,37.188550347268176,29.08,8.108550347268178,439500.0,0.0,0.0,0.2788359816804738
53,ACLS,22.911071522738414,27.46,-4.548928477261587,602700.0,0.0,0.0,-0.1656565359527162
54,ACM,51.28732746981854,45.15,6.137327469818544,1119900.0,0.0,0.0,0.13593194839022246
55,ACMR,27.928252233497222,56.82,-28.891747766502778,865500.0,0.0,0.0,-0.5084784893787888
56,ACN,228.089996039692,211.28,16.80999603969201,1626900.0,0.0,0.0,0.07956264691258998
57,ACNB,33.38314863014642,28.41,4.973148630146422,15100.0,0.0,0.0,0.17504923020578747
58,ACOR,-6.143676558259417,1.07,-7.213676558259417,13795900.0,0.0,0.0,-6.7417537927658095
59,ACP,11.4247544026659,8.95,2.4747544026659014,149500.0,0.0,0.0,0.276508871806246
60,ACRE,16.320081890485834,11.01,5.310081890485835,937700.0,0.0,0.0,0.4822962661658342
61,ACRS,-1.9726695779518852,1.45,-3.4226695779518854,271500.0,0.0,0.0,-2.3604617778978523
62,ACRX,1.3827303835039413,1.56,-0.17726961649605877,1760500.0,0.0,0.0,-0.11363436954875562
63,ACST,2.2196752600408103,0.79,1.4296752600408102,2696500.0,0.0,0.0,1.8097155190390002
64,ACT,24.914808708653695,24.23,0.6848087086536943,2300.0,0.0,0.0,0.028262843939483872
65,ACTG,2.410560648304533,3.87,-1.4594393516954671,1236200.0,0.0,0.0,-0.3771161115492163
66,ACTT,10.326805138282289,10.21,0.11680513828228811,8408800.0,0.0,0.0,0.01144026819611049
67,ACTTU,10.955525145297818,10.55,0.40552514529781725,0.0,0.0,0.0,0.038438402397897364
68,,,,,,,,
69,ACU,25.66170502906167,22.53,3.1317050290616706,31800.0,0.0,0.0,0.13900155477415316
70,ACV,25.925258494807654,24.17,1.7552584948076522,53700.0,0.0,0.0,0.07262136925145436
71,ACWI,82.73152664048344,77.34,5.391526640483434,1745700.0,0.0,0.0,0.06971200724700587
72,ACWX,49.937355663187454,45.47,4.467355663187455,1487500.0,0.0,0.0,0.09824842012728073
73,ACY,1.4223945356221215,3.1,-1.6776054643778786,224100.0,0.0,0.0,-0.5411630530251221
74,ADAP,0.20402243927439567,11.12,-10.915977560725604,1203400.0,0.0,0.0,-0.9816526583386336
75,ADBE,356.1473302812136,397.78,-41.63266971878636,2593000.0,0.0,0.0,-0.10466255145755533
76,ADC,78.94590309846448,68.27,10.675903098464488,786900.0,0.0,0.0,0.15637766366580472
77,,,,,,,,
78,ADES,12.17029807141473,5.59,6.580298071414731,315600.0,0.0,0.0,1.1771552900563025
79,ADI,123.07485116019022,123.71,-0.6351488398097729,1809800.0,0.0,0.0,-0.0051341754086959256
80,ADIL,-0.19129022386329098,2.03,-2.221290223863291,3432300.0,0.0,0.0,-1.0942316373710792
81,,,,,,,,
82,ADM,43.06399379587048,42.89,0.17399379587048003,4290500.0,0.0,0.0,0.004056745065760784
83,ADMA,4.603973520470238,3.06,1.5439735204702383,2377600.0,0.0,0.0,0.5045665099575942
84,ADMP,-0.5692442429934843,0.66,-1.2292442429934844,4130800.0,0.0,0.0,-1.8624912772628552
85,ADMS,3.0091090630694923,3.25,-0.24089093693050767,810000.0,0.0,0.0,-0.07412028828631005
86,ADNT,25.748769678442052,22.28,3.468769678442051,1835000.0,0.0,0.0,0.1556898419408461
87,ADP,184.21860270486917,161.15,23.068602704869164,2270400.0,0.0,0.0,0.1431498771633209
88,ADPT,18.217554520358863,39.42,-21.20244547964114,1124100.0,0.0,0.0,-0.5378601085652241
89,ADRE,43.49773179714329,40.6,2.8977317971432868,3400.0,0.0,0.0,0.07137270436313514
90,ADRO,-0.09615807399846066,2.76,-2.8561580739984604,1845400.0,0.0,0.0,-1.0348398818835003
91,ADS,76.80447714934066,66.09,10.714477149340652,2238400.0,0.0,0.0,0.1621194908358398
92,ADSK,187.82039271642185,233.51,-45.68960728357814,2273400.0,0.0,0.0,-0.1956644566981206
93,ADSW,37.11008310293307,31.9,5.210083102933069,1121900.0,0.0,0.0,0.16332548912015893
94,ADT,6.963499620382244,8.53,-1.5665003796177555,3061600.0,0.0,0.0,-0.18364599995518824
